customer_id,transaction_date,amount
C002,2024-08-31,407.17
C013,2024-09-01,317.58
C010,2024-09-01,239.64
C025,2024-09-01,237.21
C034,2024-09-03,390.8
C021,2024-09-04,32.16
C033,2024-09-06,221.51
C028,2024-09-07,71.08
C038,2024-09-07,205.1
C040,2024-09-10,200.2
C034,2024-09-13,128.81
C013,2024-09-14,299.72
C021,2024-09-19,153.67
C042,2024-09-19,313.95
C046,2024-09-19,68.22
C017,2024-09-24,467.04
C025,2024-09-24,174.25
C002,2024-09-26,453.62
C006,2024-09-27,463.53
C008,2024-09-27,166.82
C043,2024-09-30,475.8
C035,2024-09-30,256.33
C013,2024-09-30,474.17
C005,2024-10-02,460.73
C048,2024-10-03,294.81
C027,2024-10-04,307.29
C022,2024-10-04,493.24
C009,2024-10-04,264.95
C013,2024-10-04,498.47
C037,2024-10-05,84.43
C044,2024-10-05,491.37
C031,2024-10-06,127.67
C044,2024-10-07,68.68
C018,2024-10-07,376.26
C007,2024-10-07,317.67
C001,2024-10-07,85.64
C046,2024-10-07,496.55
C014,2024-10-07,168.6
C028,2024-10-08,105.94
C010,2024-10-08,231.7
C013,2024-10-08,335.13
C009,2024-10-09,289.25
C043,2024-10-09,24.1
C023,2024-10-09,350.92
C009,2024-10-11,424.76
C045,2024-10-11,22.99
C001,2024-10-11,277.35
C045,2024-10-12,373.15
C037,2024-10-12,194.87
C005,2024-10-14,133.38
C007,2024-10-14,396.91
C016,2024-10-15,291.98
C012,2024-10-16,412.42
C026,2024-10-16,196.64
C048,2024-10-20,145.67
C023,2024-10-20,170.47
C009,2024-10-21,427.57
C003,2024-10-21,141.93
C039,2024-10-21,114.35
C040,2024-10-21,380.02
C025,2024-10-21,75.67
C034,2024-10-22,417.0
C015,2024-10-24,270.97
C045,2024-10-24,270.98
C047,2024-10-24,282.16
C017,2024-10-25,309.61
C045,2024-10-26,370.86
C035,2024-10-28,62.51
C006,2024-10-28,295.86
C034,2024-10-29,498.35
C003,2024-10-30,462.02
C014,2024-10-30,471.32
C012,2024-10-31,234.98
C006,2024-11-01,324.03
C008,2024-11-01,275.93
C025,2024-11-02,78.24
C013,2024-11-03,217.82
C038,2024-11-03,180.65
C008,2024-11-04,469.79
C045,2024-11-04,466.74
C010,2024-11-05,69.11
C011,2024-11-05,213.26
C035,2024-11-05,184.49
C012,2024-11-05,167.95
C032,2024-11-06,286.92
C023,2024-11-06,256.67
C024,2024-11-06,251.39
C003,2024-11-07,17.13
C034,2024-11-07,261.85
C030,2024-11-08,18.93
C008,2024-11-08,220.21
C037,2024-11-08,232.73
C014,2024-11-08,448.65
C043,2024-11-11,493.77
C009,2024-11-12,150.0
C037,2024-11-12,379.73
C044,2024-11-12,326.5
C017,2024-11-13,15.56
C036,2024-11-14,230.77
C030,2024-11-16,37.59
C018,2024-11-17,191.53
C049,2024-11-19,157.68
C042,2024-11-20,376.33
C006,2024-11-20,408.76
C023,2024-11-21,72.74
C045,2024-11-21,36.83
C007,2024-11-21,461.23
C015,2024-11-21,324.16
C018,2024-11-22,455.14
C041,2024-11-24,30.03
C032,2024-11-24,51.82
C026,2024-11-24,98.98
C042,2024-11-24,27.97
C010,2024-11-24,434.1
C012,2024-11-25,337.1
C045,2024-11-25,92.78
C009,2024-11-27,399.07
C038,2024-11-27,56.28
C004,2024-11-28,368.13
C021,2024-11-28,29.26
C031,2024-11-29,260.72
C045,2024-11-29,185.5
C050,2024-11-29,59.38
C035,2024-11-30,67.28
C039,2024-11-30,446.36
C043,2024-12-01,205.51
C020,2024-12-02,98.8
C038,2024-12-04,379.16
C049,2024-12-05,147.19
C013,2024-12-05,84.9
C048,2024-12-05,179.39
C034,2024-12-07,339.07
C045,2024-12-07,475.4
C030,2024-12-07,312.94
C044,2024-12-07,432.56
C044,2024-12-08,229.23
C032,2024-12-08,148.11
C018,2024-12-08,375.27
C049,2024-12-08,75.86
C019,2024-12-09,444.98
C022,2024-12-10,52.59
C023,2024-12-10,67.59
C020,2024-12-12,477.49
C028,2024-12-14,257.57
C013,2024-12-16,297.55
C041,2024-12-17,162.74
C026,2024-12-17,108.8
C028,2024-12-17,22.92
C028,2024-12-17,96.95
C027,2024-12-18,345.52
C001,2024-12-19,282.81
C017,2024-12-19,312.88
C019,2024-12-19,204.31
C004,2024-12-19,46.16
C049,2024-12-20,410.13
C011,2024-12-21,180.95
C029,2024-12-22,212.18
C043,2024-12-23,78.49
C034,2024-12-23,306.83
C037,2024-12-26,102.18
C002,2024-12-27,264.88
C011,2024-12-27,84.32
C012,2024-12-27,480.92
C025,2024-12-28,151.43
C047,2024-12-31,136.54
C042,2025-01-01,403.4
C038,2025-01-02,470.52
C025,2025-01-03,355.0
C008,2025-01-03,99.12
C010,2025-01-03,310.57
C032,2025-01-04,377.8
C046,2025-01-04,245.76
C005,2025-01-04,474.15
C016,2025-01-05,492.57
C019,2025-01-05,325.21
C047,2025-01-06,174.1
C047,2025-01-06,353.47
C039,2025-01-06,433.71
C007,2025-01-06,495.35
C033,2025-01-07,38.2
C009,2025-01-07,35.39
C039,2025-01-08,21.4
C040,2025-01-08,421.06
C039,2025-01-08,93.73
C004,2025-01-10,396.69
C002,2025-01-11,289.68
C015,2025-01-12,72.47
C021,2025-01-14,47.17
C049,2025-01-14,475.27
C033,2025-01-14,131.2
C047,2025-01-15,96.74
C040,2025-01-17,435.61
C016,2025-01-17,78.03
C048,2025-01-18,181.95
C049,2025-01-19,251.14
C045,2025-01-20,180.01
C037,2025-01-22,229.74
C041,2025-01-23,446.23
C025,2025-01-24,273.18
C011,2025-01-24,356.06
C017,2025-01-24,359.54
C020,2025-01-29,412.71
C029,2025-01-30,484.96
C024,2025-01-31,276.34
C047,2025-01-31,199.19
C002,2025-01-31,59.55
C022,2025-02-01,446.66
C012,2025-02-02,191.61
C031,2025-02-03,371.38
C023,2025-02-03,279.27
C037,2025-02-03,314.82
C018,2025-02-03,451.57
C027,2025-02-05,173.41
C030,2025-02-05,290.09
C050,2025-02-05,181.79
C030,2025-02-07,254.2
C021,2025-02-07,352.1
C043,2025-02-08,343.94
C039,2025-02-08,82.84
C044,2025-02-09,224.36
C040,2025-02-10,408.32
C019,2025-02-10,307.03
C030,2025-02-10,453.04
C029,2025-02-11,49.31
C026,2025-02-12,113.61
C034,2025-02-12,318.41
C013,2025-02-14,257.89
C032,2025-02-15,88.73
C012,2025-02-16,295.99
C027,2025-02-16,272.69
C050,2025-02-16,295.85
C049,2025-02-16,37.62
C030,2025-02-18,218.46
C024,2025-02-18,386.8
C026,2025-02-18,388.44
C035,2025-02-18,236.64
C043,2025-02-19,339.13
C046,2025-02-21,439.96
C024,2025-02-22,230.91
C042,2025-02-22,49.86
C031,2025-02-22,161.67
C043,2025-02-23,179.71
C013,2025-02-23,59.87
C034,2025-02-24,84.74
C017,2025-02-25,73.15
C023,2025-02-26,48.09
C032,2025-02-27,15.31
C045,2025-02-28,214.94
C024,2025-03-01,466.07
C002,2025-03-03,319.81
C010,2025-03-03,422.5
C031,2025-03-04,110.52
C041,2025-03-04,264.23
C017,2025-03-04,82.07
C041,2025-03-04,90.19
C002,2025-03-07,213.17
C018,2025-03-07,187.57
C020,2025-03-09,408.27
C015,2025-03-09,438.05
C001,2025-03-09,51.21
C015,2025-03-09,94.44
C019,2025-03-10,318.18
C015,2025-03-10,174.94
C029,2025-03-11,112.58
C040,2025-03-11,167.82
C043,2025-03-11,96.43
C016,2025-03-12,490.22
C021,2025-03-12,32.27
C024,2025-03-13,41.05
C046,2025-03-14,256.08
C011,2025-03-14,317.5
C001,2025-03-15,44.88
C034,2025-03-15,103.44
C022,2025-03-16,472.94
C025,2025-03-16,242.24
C010,2025-03-17,54.69
C017,2025-03-18,375.56
C040,2025-03-19,204.67
C014,2025-03-20,50.06
C035,2025-03-21,149.7
C003,2025-03-21,383.6
C020,2025-03-21,236.71
C016,2025-03-21,290.98
C024,2025-03-22,453.64
C026,2025-03-24,348.29
C045,2025-03-25,481.98
C017,2025-03-25,439.56
C038,2025-03-26,350.03
C019,2025-03-27,67.36
C050,2025-03-28,405.35
C028,2025-03-28,374.53
C030,2025-03-28,470.71
C018,2025-03-28,312.93
C019,2025-03-29,65.49
C029,2025-03-30,42.58
C047,2025-03-31,414.96
C048,2025-04-01,236.38
C003,2025-04-03,409.09
C045,2025-04-03,149.05
C049,2025-04-03,267.01
C033,2025-04-04,461.21
C040,2025-04-05,437.34
C017,2025-04-06,112.85
C023,2025-04-06,193.39
C013,2025-04-06,465.47
C019,2025-04-06,171.09
C004,2025-04-06,128.78
C037,2025-04-07,134.77
C036,2025-04-09,475.7
C035,2025-04-09,499.86
C039,2025-04-09,94.95
C026,2025-04-10,434.37
C016,2025-04-10,64.9
C001,2025-04-10,83.7
C036,2025-04-11,12.27
C011,2025-04-12,420.78
C029,2025-04-12,211.09
C025,2025-04-14,482.86
C017,2025-04-14,198.11
C032,2025-04-15,79.02
C032,2025-04-15,328.11
C016,2025-04-15,72.51
C040,2025-04-16,292.38
C029,2025-04-16,97.24
C043,2025-04-19,268.57
C024,2025-04-20,251.38
C029,2025-04-20,423.99
C001,2025-04-21,207.71
C005,2025-04-22,45.65
C022,2025-04-24,401.71
C046,2025-04-25,291.49
C009,2025-04-27,50.92
C037,2025-04-28,309.2
C039,2025-04-30,133.69
C023,2025-04-30,100.42
C042,2025-04-30,187.91
C029,2025-04-30,383.14
C047,2025-04-30,485.04
C034,2025-05-01,396.41
C006,2025-05-02,335.95
C047,2025-05-03,377.93
C035,2025-05-03,122.03
C024,2025-05-04,362.82
C032,2025-05-04,53.46
C004,2025-05-05,344.67
C029,2025-05-06,254.24
C007,2025-05-06,252.27
C034,2025-05-07,363.9
C047,2025-05-09,439.83
C010,2025-05-10,67.9
C004,2025-05-10,313.84
C043,2025-05-11,65.64
C005,2025-05-12,185.83
C034,2025-05-12,448.81
C044,2025-05-13,204.95
C009,2025-05-14,280.43
C050,2025-05-14,18.87
C047,2025-05-14,73.29
C037,2025-05-15,206.42
C023,2025-05-16,430.62
C035,2025-05-17,194.7
C018,2025-05-18,450.79
C004,2025-05-19,495.08
C046,2025-05-19,241.07
C010,2025-05-20,464.03
C027,2025-05-21,301.74
C008,2025-05-21,320.37
C014,2025-05-21,16.42
C003,2025-05-22,131.76
C025,2025-05-22,179.38
C035,2025-05-23,217.87
C007,2025-05-23,365.6
C002,2025-05-24,119.56
C033,2025-05-25,452.25
C050,2025-05-27,480.98
C040,2025-05-27,239.66
C040,2025-06-01,450.05
C007,2025-06-03,111.1
C049,2025-06-03,342.76
C002,2025-06-03,51.57
C021,2025-06-05,422.64
C046,2025-06-05,475.53
C043,2025-06-05,19.83
C023,2025-06-06,231.59
C003,2025-06-07,454.17
C007,2025-06-07,70.91
C037,2025-06-07,448.01
C044,2025-06-08,202.2
C044,2025-06-09,64.49
C008,2025-06-09,166.3
C034,2025-06-10,370.18
C044,2025-06-10,283.62
C005,2025-06-11,297.25
C034,2025-06-11,313.86
C009,2025-06-11,39.93
C014,2025-06-11,54.73
C026,2025-06-11,104.22
C036,2025-06-13,143.97
C018,2025-06-14,66.27
C015,2025-06-14,300.86
C029,2025-06-14,297.03
C018,2025-06-14,449.43
C048,2025-06-14,436.25
C025,2025-06-15,400.67
C036,2025-06-16,80.07
C026,2025-06-17,146.51
C038,2025-06-17,183.14
C050,2025-06-19,123.78
C003,2025-06-20,409.14
C011,2025-06-20,122.33
C039,2025-06-22,215.27
C042,2025-06-24,147.67
C005,2025-06-24,426.33
C017,2025-06-25,188.49
C049,2025-06-25,43.99
C024,2025-06-25,211.8
C031,2025-06-25,339.53
C026,2025-06-25,281.39
C001,2025-06-29,390.44
